epoch,accuracy,loss,val_accuracy,val_loss
0,0.15944699943065643,4.095383167266846,0.46790122985839844,2.1330978870391846
1,0.5603381991386414,1.7494394779205322,0.7432098984718323,0.9180626273155212
2,0.7501921653747559,0.9639015197753906,0.885519802570343,0.4226932227611542
3,0.8305918574333191,0.6419356465339661,0.9160493612289429,0.2843945026397705
4,0.8879323601722717,0.4356411397457123,0.9504950642585754,0.15796849131584167
5,0.9179723262786865,0.2977108657360077,0.959876537322998,0.13685192167758942
6,0.9445042014122009,0.2243897020816803,0.9654321074485779,0.1039051041007042
7,0.952190637588501,0.1857060194015503,0.9709158539772034,0.0870424285531044
8,0.9603381752967834,0.15480490028858185,0.9765431880950928,0.08357706665992737
9,0.9627978205680847,0.13240107893943787,0.9808168411254883,0.05825828015804291
10,0.976344108581543,0.10455403476953506,0.9870370626449585,0.042656075209379196
11,0.9744811654090881,0.0991319864988327,0.9827160239219666,0.05347075313329697
12,0.9803228378295898,0.08390044420957565,0.9925742745399475,0.03475499898195267
13,0.97817063331604,0.07798279076814651,0.9907407164573669,0.028544258326292038
14,0.9827824831008911,0.06729215383529663,0.9938119053840637,0.023616831749677658
15,0.9843317866325378,0.06248655915260315,0.990123450756073,0.031176842749118805
16,0.9884704351425171,0.0520629845559597,0.9919554591178894,0.033015307039022446
